"gloss","target_child_name","part_of_speech","target_child_sex"
"lived a beautiful and clever princess Jasmine",NA,"v det:art adj coord adj n n:prop","female"
"clever girl",NA,"adj n","female"
"that's right clever girl",NA,"pro:dem adv adj n","female"
"clever girl",NA,"adj n","female"
"clever monkey",NA,"adj n","female"
"clever girl",NA,"adj n","female"
"clever girl yeah it is a planet",NA,"adj n co pro:per cop det:art n","female"
"clever girl good job",NA,"adj n adj n","female"
"and you are a clever girl",NA,"coord pro:per cop det:art adj n","female"
"you're a clever girl Violet",NA,"pro:per det:art adj n n:prop","female"
"wow he's clever",NA,"co pro:sub adj","female"
"clever girl",NA,"adj n","female"
"clever girl good job",NA,"adj n adj n","female"
