"gloss","target_child_name","part_of_speech","target_child_sex"
"you're very you're a very smart girl","Jillian","pro:per adv pro:per det:art adv adj n","female"
"he is smart",NA,"pro:sub cop adj","female"
"yep Mommy's pretty smart I know where everything is",NA,"co n:prop adv adj pro:sub v pro:int pro:indef cop","male"
"lookit wee it's xxx go the other way the train is so smart",NA,"co v pro:per v det:art qn n det:art n cop adv adj","male"
"you're smarter than Mommy",NA,"pro:per adj prep n:prop","male"
"mommy's not stupid mommy's smart",NA,"n neg adj adj adj","male"
"you know where that goes don't you you're smart",NA,"pro:per v pro:int pro:dem v mod pro:per pro:per adj","male"
"it's a w you're xxx right you're smarter than I am",NA,"pro:per det:art n:let pro:per adj pro:per adj prep pro:sub cop","male"
"smart guy huh",NA,"adj n co","male"
"xxx heh that's pretty smart",NA,"co pro:dem adv adj","male"
"that's very smart of you",NA,"pro:dem adv adj prep pro:per","female"
"very smart",NA,"adv adj","male"
"that says baby smart",NA,"pro:rel v n adj","female"
"baby smart",NA,"n adj","female"
"it is Jane oh_my_goodness you're smart",NA,"pro:per cop n:prop co pro:per adj","female"
"wow a circle's a tough one you're smart",NA,"co det:art adj det:art adj pro:indef pro:per adj","female"
"you're smart and you love your sweets",NA,"pro:per adj coord pro:per v det:poss n","female"
"but you're smart",NA,"conj pro:per adj","female"
"are you smart",NA,"cop pro:per adj","female"
"Mississippi you're so smart",NA,"n:prop pro:per adv adj","female"
"you're so smart",NA,"pro:per adv adj","female"
"you are so smart",NA,"pro:per cop adv adj","female"
"you're so smart",NA,"pro:per adv adj","female"
"are you so smart",NA,"cop pro:per adv adj","female"
"who's smart",NA,"pro:int adj","female"
"you're so smart",NA,"pro:per adv adj","female"
"you're smart",NA,"pro:per adj","female"
"you're smart",NA,"pro:per adj","female"
"you are so smart",NA,"pro:per cop adv adj","female"
"you're so smart",NA,"pro:per adv adj","female"
"you're smart",NA,"pro:per adj","female"
"yay who's smart",NA,"co pro:int cop adj","female"
"you're smart",NA,"pro:per adj","female"
"you're so smart",NA,"pro:per adv adj","female"
"whoa great smarty+pants",NA,"co adj","female"
"okay you're too smart for me",NA,"co pro:per adv adj prep pro:obj","female"
"because boy oh boy you are smart",NA,"conj co co n pro:per cop adj","female"
"they have this one which has a smart cash register",NA,"pro:sub v pro:dem pro:indef pro:rel v det:art adj n n","female"
"our pup is smart our pup can get a butterfly without a net",NA,"det:poss n cop adj det:poss n mod v det:art prep det:art n","female"
"that was very smart",NA,"pro:dem cop adv adj","female"
"you are smart",NA,"pro:per cop adj","female"
"you are so smart I forgot to tell Daddy that you told me that yesterday",NA,"pro:per cop adv adj pro:sub v inf v n:prop pro:rel pro:per v pro:obj pro:rel adv:tem","female"
"you're a smart girl huh",NA,"pro:per det:art adj n co","female"
"yep she's getting smarter by the second",NA,"co pro:sub part adj prep det:art n","female"
"you are smart cookies",NA,"pro:per cop adj n","female"
"that's easy said the dinosaur he's smart said Danny",NA,"pro:dem adj v det:art n pro:sub adj v n:prop","female"
"good that's very smart of you to close your eyes this time because the last time it got in your eye",NA,"adj pro:rel adv adj prep pro:per inf v det:poss n det:dem n conj det:art adj n pro:per v prep det:poss n","male"
"oh very smart William",NA,"co adv adj n:prop","male"
"you're a smart girl",NA,"pro:per det:art adj n","female"
"that's very smart William",NA,"pro:dem adv adj n:prop","male"
"oh that's a really smart thing to",NA,"co pro:dem det:art adv adj n inf","male"
